min_edge_threshold,min_confidence_threshold,max_alerts,policy,fractional_kelly_factor,max_stake_pct,daily_max_exposure_pct,roi,max_drawdown,risk_of_ruin_estimate,total_bets_placed,win_rate,avg_clv_pct,median_clv_pct,pct_positive_clv,clv_score,score
0.01,0.5,1,flat,0.15,0.01,0.03,0.7757142857142857,0.0,1.9498933200797697e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6857142857142857
0.01,0.5,1,flat,0.15,0.01,0.05,0.7757142857142857,0.0,1.9498933200797697e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6857142857142857
0.01,0.5,1,flat,0.15,0.02,0.03,0.7757142857142857,0.0,1.9498933200797697e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6857142857142857
0.01,0.5,1,flat,0.15,0.02,0.05,0.7757142857142857,0.0,1.9498933200797697e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6857142857142857
0.01,0.5,2,flat,0.15,0.01,0.05,0.7757142857142857,0.0,1.9498933200797697e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6857142857142857
0.01,0.5,2,flat,0.15,0.01,0.03,0.7757142857142857,0.0,1.9498933200797697e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6857142857142857
0.01,0.5,1,fractional_kelly,0.15,0.01,0.05,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,fractional_kelly,0.15,0.01,0.03,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,fractional_kelly,0.25,0.01,0.05,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,fractional_kelly,0.25,0.01,0.03,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,vol_target,0.15,0.01,0.05,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,vol_target,0.15,0.01,0.03,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,fractional_kelly,0.35,0.01,0.03,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,fractional_kelly,0.35,0.01,0.05,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,vol_target,0.35,0.01,0.05,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,vol_target,0.35,0.01,0.03,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,vol_target,0.5,0.01,0.05,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,vol_target,0.5,0.01,0.03,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,vol_target,0.25,0.01,0.03,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,vol_target,0.25,0.01,0.05,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,fractional_kelly,0.5,0.01,0.03,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,fractional_kelly,0.5,0.01,0.05,0.7750877818090939,0.0,5.290477226667151e-61,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6850877818090939
0.01,0.5,1,fractional_kelly,0.5,0.02,0.03,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
0.01,0.5,1,fractional_kelly,0.5,0.02,0.05,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
0.01,0.5,1,fractional_kelly,0.35,0.02,0.05,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
0.01,0.5,1,fractional_kelly,0.35,0.02,0.03,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
0.01,0.5,1,fractional_kelly,0.15,0.02,0.03,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
0.01,0.5,1,fractional_kelly,0.15,0.02,0.05,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
0.01,0.5,1,fractional_kelly,0.25,0.02,0.05,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
0.01,0.5,1,fractional_kelly,0.25,0.02,0.03,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
0.01,0.5,1,vol_target,0.25,0.02,0.03,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
0.01,0.5,1,vol_target,0.25,0.02,0.05,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
0.01,0.5,1,vol_target,0.15,0.02,0.05,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
0.01,0.5,1,vol_target,0.15,0.02,0.03,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
0.01,0.5,1,vol_target,0.35,0.02,0.03,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
0.01,0.5,1,vol_target,0.35,0.02,0.05,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
0.01,0.5,1,vol_target,0.5,0.02,0.05,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
0.01,0.5,1,vol_target,0.5,0.02,0.03,0.7744636738195463,0.0,1.1929047257375163e-30,7,0.8571428571428571,0.0,0.0,0.0,-0.2,0.6844636738195462
