provider_match_id,source_market,source_url,competition,season,kickoff_time_utc,home_team_name,away_team_name,ft_home_goals,ft_away_goals,handicap_open_line,handicap_close_line,odds_home_open,odds_away_open,odds_home_close,odds_away_close,handicap_side
E0_2324_0000,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-11 20:00:00+00:00,Burnley,Man City,0,3,1.5,1.5,1.86,2.07,1.86,2.07,home
E0_2324_0001,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-12 12:30:00+00:00,Arsenal,Nott'm Forest,2,1,-2.0,-2.0,1.88,2.02,1.88,2.02,home
E0_2324_0002,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-12 15:00:00+00:00,Bournemouth,West Ham,1,1,0.0,0.0,1.95,1.95,1.95,1.95,home
E0_2324_0003,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-12 15:00:00+00:00,Brighton,Luton,4,1,-1.5,-1.5,1.95,1.95,1.95,1.95,home
E0_2324_0004,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-12 15:00:00+00:00,Everton,Fulham,0,1,-0.25,-0.25,1.93,1.97,1.93,1.97,home
E0_2324_0005,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-12 15:00:00+00:00,Sheffield United,Crystal Palace,0,1,0.25,0.25,1.84,2.06,1.84,2.06,home
E0_2324_0006,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-12 17:30:00+00:00,Newcastle,Aston Villa,5,1,-0.75,-0.75,2.01,1.89,2.01,1.89,home
E0_2324_0007,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-13 14:00:00+00:00,Brentford,Tottenham,2,2,0.0,0.0,2.03,1.87,2.03,1.87,home
E0_2324_0008,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-13 16:30:00+00:00,Chelsea,Liverpool,1,1,0.25,0.25,1.81,2.09,1.81,2.09,home
E0_2324_0009,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-14 20:00:00+00:00,Man United,Wolves,1,0,-1.5,-1.5,1.99,1.91,1.99,1.91,home
E0_2324_0010,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-18 19:45:00+00:00,Nott'm Forest,Sheffield United,2,1,-0.5,-0.5,1.98,1.95,1.98,1.95,home
E0_2324_0011,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-19 15:00:00+00:00,Fulham,Brentford,0,3,0.0,0.0,1.98,1.92,1.98,1.92,home
E0_2324_0012,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-19 15:00:00+00:00,Liverpool,Bournemouth,3,1,-2.0,-2.0,2.04,1.86,2.04,1.86,home
E0_2324_0013,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-19 15:00:00+00:00,Wolves,Brighton,1,4,0.5,0.5,2.03,1.87,2.03,1.87,home
E0_2324_0014,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-19 17:30:00+00:00,Tottenham,Man United,2,0,0.25,0.25,1.82,2.08,1.82,2.08,home
E0_2324_0015,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-19 20:00:00+00:00,Man City,Newcastle,1,0,-0.75,-0.75,1.92,1.98,1.92,1.98,home
E0_2324_0016,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-20 14:00:00+00:00,Aston Villa,Everton,4,0,-0.75,-0.75,1.91,1.99,1.91,1.99,home
E0_2324_0017,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-20 16:30:00+00:00,West Ham,Chelsea,3,1,0.5,0.5,1.82,2.08,1.82,2.08,home
E0_2324_0018,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-21 20:00:00+00:00,Crystal Palace,Arsenal,0,1,1.0,1.0,1.84,2.06,1.84,2.06,home
E0_2324_0019,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-25 20:00:00+00:00,Chelsea,Luton,3,0,-1.5,-1.5,1.95,1.98,1.95,1.98,home
E0_2324_0020,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-26 12:30:00+00:00,Bournemouth,Tottenham,0,2,0.5,0.5,1.96,1.94,1.96,1.94,home
E0_2324_0021,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-26 15:00:00+00:00,Arsenal,Fulham,2,2,-1.75,-1.75,1.85,2.05,1.85,2.05,home
E0_2324_0022,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-26 15:00:00+00:00,Brentford,Crystal Palace,1,1,-0.25,-0.25,1.87,2.03,1.87,2.03,home
E0_2324_0023,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-26 15:00:00+00:00,Everton,Wolves,0,1,-0.25,-0.25,2.02,1.88,2.02,1.88,home
E0_2324_0024,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-26 15:00:00+00:00,Man United,Nott'm Forest,3,2,-1.5,-1.5,1.89,2.01,1.89,2.01,home
E0_2324_0025,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-26 17:30:00+00:00,Brighton,West Ham,1,3,-1.0,-1.0,1.86,2.04,1.86,2.04,home
E0_2324_0026,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-27 14:00:00+00:00,Burnley,Aston Villa,1,3,0.25,0.25,2.02,1.88,2.02,1.88,home
E0_2324_0027,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-27 14:00:00+00:00,Sheffield United,Man City,1,2,2.0,2.0,1.94,1.96,1.94,1.96,home
E0_2324_0028,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-08-27 16:30:00+00:00,Newcastle,Liverpool,1,2,-0.25,-0.25,1.94,1.96,1.94,1.96,home
E0_2324_0029,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-01 20:00:00+00:00,Luton,West Ham,1,2,0.75,0.75,1.94,1.99,1.94,1.99,home
E0_2324_0030,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-02 12:30:00+00:00,Sheffield United,Everton,2,2,0.0,0.0,2.13,1.81,2.13,1.81,home
E0_2324_0031,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-02 15:00:00+00:00,Brentford,Bournemouth,2,2,-0.75,-0.75,1.95,1.98,1.95,1.98,home
E0_2324_0032,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-02 15:00:00+00:00,Burnley,Tottenham,2,5,0.5,0.5,2.03,1.9,2.03,1.9,home
E0_2324_0033,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-02 15:00:00+00:00,Chelsea,Nott'm Forest,0,1,-1.25,-1.25,1.86,2.07,1.86,2.07,home
E0_2324_0034,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-02 15:00:00+00:00,Man City,Fulham,5,1,-2.25,-2.25,2.03,1.9,2.03,1.9,home
E0_2324_0035,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-02 17:30:00+00:00,Brighton,Newcastle,3,1,0.0,0.0,1.94,1.99,1.94,1.99,home
E0_2324_0036,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-03 14:00:00+00:00,Crystal Palace,Wolves,3,2,-0.5,-0.5,1.98,1.95,1.98,1.95,home
E0_2324_0037,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-03 14:00:00+00:00,Liverpool,Aston Villa,3,0,-1.0,-1.0,2.05,1.75,2.05,1.75,home
E0_2324_0038,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-03 16:30:00+00:00,Arsenal,Man United,3,1,-0.75,-0.75,2.01,1.92,2.01,1.92,home
E0_2324_0039,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-16 12:30:00+00:00,Wolves,Liverpool,1,3,1.25,1.25,1.92,1.98,1.92,1.98,home
E0_2324_0040,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-16 15:00:00+00:00,Aston Villa,Crystal Palace,3,1,-0.5,-0.5,1.91,1.99,1.91,1.99,home
E0_2324_0041,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-16 15:00:00+00:00,Fulham,Luton,1,0,-0.75,-0.75,1.87,2.03,1.87,2.03,home
E0_2324_0042,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-16 15:00:00+00:00,Man United,Brighton,1,3,-0.25,-0.25,1.97,1.93,1.97,1.93,home
E0_2324_0043,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-16 15:00:00+00:00,Tottenham,Sheffield United,2,1,-1.75,-1.75,2.03,1.87,2.03,1.87,home
E0_2324_0044,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-16 15:00:00+00:00,West Ham,Man City,1,3,1.25,1.25,1.83,2.07,1.83,2.07,home
E0_2324_0045,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-16 17:30:00+00:00,Newcastle,Brentford,1,0,-1.0,-1.0,1.89,2.01,1.89,2.01,home
E0_2324_0046,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-17 14:00:00+00:00,Bournemouth,Chelsea,0,0,0.75,0.75,1.89,2.01,1.89,2.01,home
E0_2324_0047,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-17 16:30:00+00:00,Everton,Arsenal,0,1,1.0,1.0,2.05,1.85,2.05,1.85,home
E0_2324_0048,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-18 19:45:00+00:00,Nott'm Forest,Burnley,1,1,-0.25,-0.25,1.9,2.0,1.9,2.0,home
E0_2324_0049,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-23 15:00:00+00:00,Crystal Palace,Fulham,0,0,-0.5,-0.5,1.98,1.92,1.98,1.92,home
E0_2324_0050,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-23 15:00:00+00:00,Luton,Wolves,1,1,0.25,0.25,1.96,1.94,1.96,1.94,home
E0_2324_0051,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-23 15:00:00+00:00,Man City,Nott'm Forest,2,0,-2.25,-2.25,2.02,1.88,2.02,1.88,home
E0_2324_0052,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-23 17:30:00+00:00,Brentford,Everton,1,3,-0.75,-0.75,2.06,1.84,2.06,1.84,home
E0_2324_0053,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-23 20:00:00+00:00,Burnley,Man United,0,1,0.75,0.75,1.95,1.95,1.95,1.95,home
E0_2324_0054,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-24 14:00:00+00:00,Arsenal,Tottenham,2,2,-0.75,-0.75,1.87,2.03,1.87,2.03,home
E0_2324_0055,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-24 14:00:00+00:00,Brighton,Bournemouth,3,1,-1.5,-1.5,2.01,1.89,2.01,1.89,home
E0_2324_0056,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-24 14:00:00+00:00,Chelsea,Aston Villa,0,1,-0.5,-0.5,1.91,1.99,1.91,1.99,home
E0_2324_0057,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-24 14:00:00+00:00,Liverpool,West Ham,3,1,-1.5,-1.5,2.03,1.87,2.03,1.87,home
E0_2324_0058,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-24 16:30:00+00:00,Sheffield United,Newcastle,0,8,1.25,1.25,1.92,1.98,1.92,1.98,home
E0_2324_0059,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 12:30:00+00:00,Aston Villa,Brighton,6,1,0.0,0.0,1.97,1.96,1.97,1.96,home
E0_2324_0060,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 15:00:00+00:00,Bournemouth,Arsenal,0,4,1.0,1.0,2.0,1.93,2.0,1.93,home
E0_2324_0061,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 15:00:00+00:00,Everton,Luton,1,2,-1.0,-1.0,2.09,1.84,2.09,1.84,home
E0_2324_0062,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 15:00:00+00:00,Man United,Crystal Palace,0,1,-1.0,-1.0,2.0,1.93,2.0,1.93,home
E0_2324_0063,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 15:00:00+00:00,Newcastle,Burnley,2,0,-1.5,-1.5,1.96,1.97,1.96,1.97,home
E0_2324_0064,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 15:00:00+00:00,West Ham,Sheffield United,2,0,-1.25,-1.25,2.02,1.91,2.02,1.91,home
E0_2324_0065,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 15:00:00+00:00,Wolves,Man City,2,1,1.5,1.5,1.97,1.96,1.97,1.96,home
E0_2324_0066,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-09-30 17:30:00+00:00,Tottenham,Liverpool,2,1,0.25,0.25,1.97,1.96,1.97,1.96,home
E0_2324_0067,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-01 14:00:00+00:00,Nott'm Forest,Brentford,1,1,0.0,0.0,2.01,1.89,2.01,1.89,home
E0_2324_0068,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-02 20:00:00+00:00,Fulham,Chelsea,0,2,0.5,0.5,1.85,2.05,1.85,2.05,home
E0_2324_0069,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-03 19:30:00+00:00,Luton,Burnley,1,2,0.0,0.0,2.08,1.85,2.08,1.85,home
E0_2324_0070,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-07 12:30:00+00:00,Luton,Tottenham,0,1,1.25,1.25,1.88,2.02,1.88,2.02,home
E0_2324_0071,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-07 15:00:00+00:00,Burnley,Chelsea,1,4,0.75,0.75,1.91,1.99,1.91,1.99,home
E0_2324_0072,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-07 15:00:00+00:00,Everton,Bournemouth,3,0,-0.5,-0.5,1.98,1.92,1.98,1.92,home
E0_2324_0073,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-07 15:00:00+00:00,Fulham,Sheffield United,3,1,-1.0,-1.0,2.08,1.73,2.08,1.73,home
E0_2324_0074,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-07 15:00:00+00:00,Man United,Brentford,2,1,-0.75,-0.75,1.88,2.02,1.88,2.02,home
E0_2324_0075,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-07 17:30:00+00:00,Crystal Palace,Nott'm Forest,0,0,-0.25,-0.25,1.91,1.99,1.91,1.99,home
E0_2324_0076,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-08 14:00:00+00:00,Brighton,Liverpool,2,2,0.25,0.25,2.0,1.9,2.0,1.9,home
E0_2324_0077,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-08 14:00:00+00:00,West Ham,Newcastle,2,2,0.25,0.25,2.06,1.84,2.06,1.84,home
E0_2324_0078,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-08 14:00:00+00:00,Wolves,Aston Villa,1,1,0.25,0.25,2.04,1.86,2.04,1.86,home
E0_2324_0079,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-08 16:30:00+00:00,Arsenal,Man City,1,0,0.25,0.25,1.79,2.11,1.79,2.11,home
E0_2324_0080,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-21 12:30:00+00:00,Liverpool,Everton,2,0,-1.5,-1.5,2.0,1.93,2.0,1.93,home
E0_2324_0081,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-21 15:00:00+00:00,Bournemouth,Wolves,1,2,-0.25,-0.25,2.1,1.83,2.1,1.83,home
E0_2324_0082,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-21 15:00:00+00:00,Brentford,Burnley,3,0,-0.5,-0.5,1.86,2.07,1.86,2.07,home
E0_2324_0083,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-21 15:00:00+00:00,Man City,Brighton,2,1,-1.25,-1.25,1.87,2.06,1.87,2.06,home
E0_2324_0084,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-21 15:00:00+00:00,Newcastle,Crystal Palace,4,0,-1.25,-1.25,2.06,1.87,2.06,1.87,home
E0_2324_0085,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-21 15:00:00+00:00,Nott'm Forest,Luton,2,2,-0.75,-0.75,1.94,1.99,1.94,1.99,home
E0_2324_0086,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-21 17:30:00+00:00,Chelsea,Arsenal,2,2,0.25,0.25,1.96,1.97,1.96,1.97,home
E0_2324_0087,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-21 20:00:00+00:00,Sheffield United,Man United,1,2,1.25,1.25,2.02,1.91,2.02,1.91,home
E0_2324_0088,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-22 16:30:00+00:00,Aston Villa,West Ham,4,1,-0.5,-0.5,1.91,2.02,1.91,2.02,home
E0_2324_0089,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-23 20:00:00+00:00,Tottenham,Fulham,2,0,-1.0,-1.0,1.83,2.1,1.83,2.1,home
E0_2324_0090,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-27 20:00:00+00:00,Crystal Palace,Tottenham,1,2,0.75,0.75,1.89,2.04,1.89,2.04,home
E0_2324_0091,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-28 12:30:00+00:00,Chelsea,Brentford,0,2,-0.75,-0.75,1.86,2.07,1.86,2.07,home
E0_2324_0092,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-28 15:00:00+00:00,Arsenal,Sheffield United,5,0,-2.5,-2.5,2.03,1.78,2.03,1.78,home
